Branch,CPU,RAM,Storage,GPU,Screen,Pin,Status,Price
HP,Core i7-8550U,8 GB,SSD 512GB,Nvidia Geforce MX150 2GB,15.6 inch 4K, 3 cell,Old,15.500.000
HP,Core i7-8550U,16 GB,SSD 512GB,Nvidia Geforce MX150 2GB,15.6 inch 4K, 3 cell,Old,16.400.000
MacBook,Intel Core i5,16 GB,SSD 512GB,Intel Iris Plus Graphics 645,13.3 inch (2560x1600)pixel,49.9Wh Li-Poly,Old,17.000.000
Surface,Core i7-8650U,16 GB,SSD 1TB,Intel HD Graphics 520,12.3 inch 2K+,9 gi?,Old,18.900.000
Surface,Core i7-8650U,16 GB,SSD 512GB,Nvidia GeForce GTX 1050 2GB,13.5 inch 3K,Kho?ng 17 gi? (theo công b? c?a Microsoft),Old,20.900.000
Macbook,Apple M1,8 GB,SSD 256GB,Onboard,13.3 inch (2560x1600)pixel,Pin li?n,Old,22.800.000
Macbook,8 nhân GPU,16 nhân Neural Engine,8 GB,SSD 256GB,8 nhân GPU,Pin li?n,Old,21.900.000
Macbook,8 nhân GPU,16 nhân Neural Engine,8 GB,SSD 256GB,8 nhân GPU,Pin li?n,Old,26.500.000
MacBook,Apple M2,8 GB,SSD 256GB,10 nhân GPU,13.3 inch (2560x1600)pixel,10 ti?ng,Old,22.990.000
MacBook,Apple M2,8 GB,SSD 256GB,10 nhân GPU,13.3 inch (2560x1600)pixel,10 ti?ng,Old,29.600.000
Surface,Microsoft SQ1,16 GB,SSD 512GB,Microsoft SQ1 Adreno 685,13 inch (2880x1920) pixels,13Whr,Old,23.500.000
Dell,Core i7-11800H,16 GB,SSD 512GB,Nvidia GeForce RTX 3050 4GB,15.6 inch Full HD,6-Cell 86WHr,Old,28.900.000
Macbook,Apple M1,16 GB,SSD 512GB,14 core-GPU,14.2 inch Liquid Retina XDR,6-Cell 86WHr,Old,37.500.000
Lenovo,Core i5-8265U,8 GB,SSD 256GB,Intel HD Graphics 620,14 inch Full HD,3Cell 50WH,Old,7.900.000
Lenovo,Core i5-10210U,16 GB,SSD 512GB,Intel HD Graphics 620,14 inch Full HD,3Cell 50WH,Old,11.900.000
Dell,Core i5-10310U,8 GB,SSD 256GB,Intel UHD Graphics 650,15.6 inch Full HD,4 Cells,Old,9.500.000
Dell,Core i5-1035G1,8 GB,SSD 256GB,Nvidia GeForce MX230 2GB,14 inch Full HD,"3-Cell, 42 WHr",Old,9.800.000
Surface,Core i5-6200U,8 GB,SSD 256GB,Intel HD Graphics 520,12.3 inch 2K+,9 gi?,Old,10.500.000
HP,Core i5-1135G7,8 GB,SSD 256GB,Intel UHD Graphics,13.3 inch Full HD,"3-cell Li-ion, 45 Wh",Old,11.500.000
Lenovo,Core i5-10210U,16 GB,SSD 256GB,Intel UHD Graphics,14 inch Full HD,50 Wh,Old,11.500.000
Acer,Core i5-1135G7,8 GB,SSD 512GB,Intel Iris Xe Graphics,13.5 inch 2K,58.7 Wh 4-cell Li-ion battery,Old,11.900.000
Dell,Core i5-1145G7,8 GB,SSD 256GB,Intel Iris Xe Graphics,15.6 inch Full HD,4 Cell 63 Wh,Old,12.900.000
Dell,Core i5-1145G7,16 GB,SSD 256GB,Intel Iris Xe Graphics,15.6 inch Full HD,4 Cell 63 Wh,Old,13.900.000
Dell,Core i5-10310U,8 GB,SSD 512GB,Intel HD Graphics,14 inch Full HD,"4 Cell, 52WHr",Old,8.900.000
Dell,Core i5-10310U,16 GB,SSD 512GB,Intel HD Graphics,14 inch Full HD,"4 Cell, 52WHr",Old,9.600.000
Dell,Core i7-10610U,16 GB,SSD 512GB,Intel HD Graphics,14 inch Full HD,"4 Cell, 52WHr",Old,10.600.000
HP,Core i5-10310U,8 GB,SSD 256GB,Intel UHD Graphics 630,14 inch Full HD,3 cell 53 Wh Lithium-Ion,Old,9.200.000
HP,Core i5-10310U,16 GB,SSD 256GB,Intel UHD Graphics 630,14 inch Full HD,3 cell 53 Wh Lithium-Ion,Old,9.900.000
HP,Core i7-10810U,8 GB,SSD 256GB,Intel UHD Graphics 630,14 inch Full HD,3 cell 53 Wh Lithium-Ion,Old,11.900.000
HP,Core i7-10810U,16 GB,SSD 512GB,Intel UHD Graphics 630,14 inch Full HD,3 cell 53 Wh Lithium-Ion,Old,12.900.000
Dell,Core i5-1145G7,16 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch Full HD,63 Wh Lithium-Ion,Old,10.400.000
Dell,Core i7-1185G7,16 GB,SSD 512GB,Intel Iris Xe Graphics,13.3 inch Full HD,63 Wh Lithium-Ion,Old,11.900.000
